(Compounds Polynucleotides)	SMILES
CPD0-1162	CCCCCCCC\C=C/C/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
FARNESYL-PP	CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
CPD-18492	CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-17386	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC/C=C/C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-19170	CCCCCCCC\C=C/CCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-19161	CCCCCC\C=C/CCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-19162	CCCCCC\C=C/CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-19172	CCCCCCCC\C=C/CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-13357	CC(C)(O)[C@@H](O)C(=O)[O-]
CPD-12699	CC[C@](C)(O)C#N
CPD-618	C[C@@]([C@H](CC([O-])=O)C([O-])=O)(C([O-])=O)O
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	CC(C)[C@H](C([O-])=O)[C@H](C([O-])=O)O
CPD-19757	CC(=O)N[C@@H](CC[NH3+])C(=O)[O-]
CPD-9517	C=C(O[C@H]1(\C=C/C=C([C@@H]1[NH3+])/C(=O)[O-]))C(=O)[O-]
CPD-7100	CC([C@H](C(=O)[O-])C(=O)C(=O)[O-])C
3-CARBOXY-3-HYDROXY-ISOCAPROATE	CC(C)[C@@](O)(CC(=O)[O-])C([O-])=O
CPD-9406	CC[C@H](C(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)C([O-])=O
DIHYDRO-DIOH-BENZOATE	C([O-])(=O)C1(\[C@@H]([C@H](\C=C/C=1)O)O)
CPD-622	C[C@H](C(=O)[O-])[C@@](O)(CC(=O)[O-])C(=O)[O-]
2-METHYL-3-HYDROXY-BUTYRYL-COA	C[C@H](C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])[C@H](C)O
CPD-14443	C1([C@H](O)CC(/C([O-])=O)=N\[C@@H]1C([O-])=O)
CPD-15056	C\C=C(C(=O)[O-])/N
CPD-14447	C=C\C=C(C([O-])=O)/O
CPD-13339	C([O-])(=O)/C=C/C=C(C(=O)[O-])\O
CPD-18635	C(\C(\O)=C/C=O)=C\C(=O)[O-]
CPD-787	C([O-])(=O)C\C=C/C=C(C(=O)[O-])\O
CPD-13712	C\C=C/C=C(C(=O)[O-])\O
CPD-782	C([O-])(=O)CC1(\C=C/C(/O)=C(\C=1)/O)
CPD-8742	C([O-])(=O)C/C=C/C(=O)C(=O)[O-]
CPD-15692	CCCCCC/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-15567	CCCCCCCCCC/C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-15655	CCCCCCC/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-785	C(C[C@H](/C=C/C(C([O-])=O)=O)C([O-])=O)([O-])=O
CPD0-1158	CCCCCCCC\C=C/C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD0-1159	CCCCCCCC\C=C/C=C/CC(=O)[O-]
CPD-21414	C[C@@H]4(CCC(=O)C(/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=C(CCC(=O)[O-])\4)
3OH-4P-OH-ALPHA-KETOBUTYRATE	C([C@H](C(C([O-])=O)=O)O)OP([O-])(=O)[O-]
CPD-12779	CCCCCCC[C@@H](O)CC(=O)[O-]
CPD-13533	CC[C@H](CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)O
CPD-21418	CC(C(=O)CCC(=O)[O-])[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-12777	CCCCCCC[C@H](CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)O
CPD-14419	CC\C=C/C\C=C/C\C=C/CCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
PYRROLINE-HYDROXY-CARBOXYLATE	C1(\[C@H](O)C[C@@H](C([O-])=O)\N=1)
CPD-14424	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
3-HYDROXYADIPYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C[C@H](CCC(=O)[O-])O)=O)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-17814	CCCC\C=C/CCCCCCC[C@@H](CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O)O
CPD-18493	CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-17387	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC[C@H](O)CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-14925	CCCCCC\C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-7221	CCCCCCCC\C=C/CC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CIS-3-HEXENOL	CC\C=C/CCO
CPD-15688	CCCCCC/C=C/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
3-OXOADIPATE-ENOL-LACTONE	C(=O)(CC1(\OC(=O)C\C=1))[O-]
HYDRPHENYLAC-CPD	C(=O)CC1(\C=C/C(/O)=C\C=1)
4-HYDROXYPHENYLACETATE	C1(\C=C(\C=C/C(\CC(=O)[O-])=1)\O)
D-4-HYDROXY-2-KETO-GLUTARATE	C(C(=O)C([O-])=O)[C@H](C([O-])=O)O
CIS-4-HYDROXY-D-PROLINE	C1([NH2+][C@@H](C(=O)[O-])C[C@@H](O)1)
CPD-15016	C(C(=O)C([O-])=O)[C@@H](C([O-])=O)O
CPD-804	C(CC[C@H](O)CC(C([O-])=O)=O)([O-])=O
4S5S-45-DIHYDROXY-26-DIOXOHEXANOATE	C(=O)[C@H]([C@H](CC(C([O-])=O)=O)O)O
CPD-786	C(C\C=C/CC(C([O-])=O)=O)([O-])=O
CPD-17365	CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-10244	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)[O-]
CPD-17312	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-19104	C(C1(\[C@@H]2(NC3(/C=C\C=C(C(\N=C(\C=C/C=1)/2)=3)\C([O-])=O))))(=O)[O-]
CPD-15691	CCCCCC/C=C/CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-10020	C2(=O)(NC(=O)[C@@H](CC1(\C=C/C=C\C=1))N2)
CPD-21412	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C2(\[C@H](O)CC[C@]1(C)(C(=O)CCC\1=2)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-21413	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C2(\C(=O)CC[C@]1(C)(C(=O)CCC\1=2)))COP(=O)(OP(=O)(OC[C@@H]3([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O3)N4(C5(\N=C/N=C(C(\N=C/4)=5)/N))))[O-])[O-]
CPD-10019	C2(=O)(NC(=O)[C@H](CC1(\C=C/C=C\C=1))N2)
CPD-9518	C([O-])(=O)C1(\[C@H]([NH3+])[C@@H](O)\C=C/C=1)
CPD-19148	CCCCCC\C=C/CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-15436	CCCCCCCC\C=C/CCCC(SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-])=O
CPD-14423	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
5Z8Z11Z14Z17Z-EICOSAPENTAENOATE	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)[O-]
CPD-14018	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
CPD-22687	C=CC(C)(O)CC/C=C(C)/CC(O)C=C(C)C
CPD-5881	C[C@H](O)[C@H](O)[C@H]1(CNC2(\[C@@](O)(N1)C(=O)\N=C(N)/N=2))
